KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number
K03873.01,FALSE POSITIVE,,63.32786360000001,165.22656,2454998.227,0.003,47.0744,11515.0,0.095,0.0067599999999999995,54.17,0.305,89.99,896.0,152.49,11.274000000000001,0.524,0.187,0.0,0.0,4919.0,2.9789999999999996,-0.38,5.1979999999999995,0.938,22.316999999999997,58.873999999999995,619.6,1,23
K03078.01,CANDIDATE,,2.98618134,133.46926000000002,2454966.469,0.249,2.969,122.9,0.01,0.91284,1.16,0.042,88.11,1356.0,798.35,7.55,0.324,0.303,0.0,0.0,6173.0,4.447,-0.04,1.041,1.104,3.1239999999999997,11.370999999999999,12.0,1,453
K05516.01,FALSE POSITIVE,,0.83620025,131.91663,2454964.917,0.56,3.7127,331275.0,0.601,0.58692,65.64,0.017,78.42,1932.0,3299.29,2.7889999999999997,0.40399999999999997,0.262,0.0,0.0,5780.0,4.438,0.0,1.0,1.0,21.715999999999998,113.145,145.4,1,220
K03833.01,FALSE POSITIVE,,49.5740154,201.97177,2455034.972,0.47200000000000003,63.196000000000005,8772.9,0.087,0.00159,5.01,0.213,85.42,280.0,1.46,5.9110000000000005,0.35700000000000004,0.335,0.0,0.0,4040.0,4.7139999999999995,-0.44,0.527,0.525,15.804,55.104,200.6,1,25
K01131.01,CANDIDATE,,0.696125302,354.767068,2455187.767,1.219,2.0054,14966.0,0.386,0.39891,28.44,0.013000000000000001,55.84,1645.0,1739.43,2.17,0.389,0.27899999999999997,0.0,0.0,5245.0,4.593999999999999,-0.76,0.674,0.652,32.675,41.593999999999994,177.2,1,1627
K04153.01,CANDIDATE,,4.62602867,134.68092,2454967.681,0.7390000000000001,0.643,346.9,0.019,50.65963,1.65,0.052000000000000005,88.9,1012.0,247.34,38.6,0.35600000000000004,0.28600000000000003,0.0,0.0,5834.0,4.566,-0.5,0.797,0.852,3.73,13.298,14.7,1,296
K05518.01,FALSE POSITIVE,,558.2188599999998,419.8232,2455252.8230000003,0.022000000000000002,13.556,1539.4,0.036000000000000004,2.0984,3.1,1.27,90.0,198.0,0.36,325.7,0.373,0.27899999999999997,0.0,0.0,5679.0,4.581,-0.32,0.794,0.8859999999999999,10.208,10.168,19.1,1,3
K08156.01,CANDIDATE,,364.98242,188.6133,2455021.613,0.9259999999999999,12.345999999999998,533.0,0.026000000000000002,0.13999,3.12,1.048,89.47,293.0,1.73,99.5,0.295,0.31,0.0,0.0,6429.0,4.404,-0.14,1.1159999999999999,1.1520000000000001,5.518,7.172999999999999,13.1,1,4
K07886.01,FALSE POSITIVE,,366.71923,185.6459,2455018.6459999997,0.5920000000000001,9.8,246.4,0.015,1.84205,3.35,1.077,89.86,383.0,5.09,235.7,0.315,0.302,0.0,0.0,6295.0,3.907,-0.18,2.049,1.237,5.6579999999999995,8.196,9.8,1,4
K03197.01,CANDIDATE,,22.599501,152.9112,2454985.911,0.12,4.38,76.9,0.008,2.2735,0.96,0.158,89.83,734.0,68.48,39.4,0.307,0.306,0.0,0.0,6335.0,4.375,-0.3,1.087,1.0170000000000001,4.225,12.45,2.9,1,59
