registered_on,CO,PM10,PM25,NO,NOX,WD,RH,TEMP,WS,UVA,UVB,O3
2003-12-14,0.17241316052323027,0.0942408376963351,0.05243445692883896,0.016014702021527962,0.03329302893536532,0.6439257197050816,0.67,0.4156794699306309,0.15678770026492894,0.03506046460163398,0.036334403080820296,0.3592814371257485
2003-12-15,0.24137832818080496,0.16099476439790575,0.11985018726591762,0.08453662378577055,0.11170703092265148,0.6181662434607031,0.8222186666666665,0.5015609013877596,0.15508736018983807,0.03483809161384082,0.03657924007992401,0.3592814371257485
2003-12-16,0.3448276313911979,0.2277486910994765,0.12359550561797752,0.11892885271724865,0.17425865846212785,0.6264909937011998,0.504444,0.6948803184013974,0.14933394148381882,0.033796538490282364,0.03816950086299616,0.5449101796407186
2003-12-17,0.2758621189060608,0.1662303664921466,0.13857677902621726,0.10317668679443424,0.17036788737115566,0.6493713096949859,0.5033333333333333,0.7348566331750572,0.16723881258664888,0.02789158859879341,0.02684661470386725,0.5868263473053893
2003-12-18,0.3448276313911979,0.17277486910994766,0.18352059925093636,0.11971646101338936,0.1829377716057512,0.6243732642606814,0.6544439999999999,0.6111800264584968,0.17506051845017578,0.03270547493548685,0.0349572341060447,0.6107784431137725
2003-12-19,0.3448276313911979,0.14528795811518325,0.15730337078651685,0.107639800472565,0.16438208569273688,0.6542424273326468,0.82,0.5936934337207169,0.15354905834911908,0.034891639968341374,0.038742094081894524,0.592814371257485
2003-12-20,0.6206896813317461,0.4227748691099477,1.0,0.11026516145970072,0.16378350552489496,0.6279560681616546,0.7488853333333333,0.6639621036378559,0.17347622322415476,0.03451111579400963,0.03886416441554955,0.6467065868263473
2003-12-21,0.3793103876337664,0.17539267015706805,0.10112359550561796,0.11026516145970072,0.14612539057355955,0.7472627582151248,0.7022186666666667,0.4653359966720759,0.14738594471863972,0.035839802965626694,0.04063627831965732,0.3233532934131737
2003-12-22,0.4137931438763349,0.22643979057591626,0.1310861423220974,0.10842740876870573,0.11529851192970275,0.6901520482148868,0.7400000000000001,0.6430351568209332,0.14572593730450598,0.03460936671323179,0.040646632756309815,0.6047904191616766
2003-12-23,0.4137931438763349,0.20418848167539266,0.20224719101123595,0.10212654239957997,0.16288563527313216,0.6291050128661413,0.6466666666666667,0.5980669557363596,0.18120028159273252,0.034732203565551366,0.03950533301870263,0.6526946107784432
2003-12-24,0.3793103876337664,0.13481675392670156,0.16853932584269662,0.10448936728800212,0.17425865846212785,0.6904511817474158,0.6666666666666666,0.54341104735921,0.1863862126831784,0.03518764681229565,0.04097087411662306,0.4850299401197605
2003-12-25,0.482758656361472,0.14267015706806285,0.1348314606741573,0.1065896560777107,0.15001616166453174,0.6929462273482834,0.8111106666666666,0.6052474768862923,0.17074067818449531,0.03444712261490658,0.04085196094951002,0.532934131736527
